                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.98853,                  4.874,                0.54607,                0.79422,                 1.0635,                0.72359,                      1,                  0.995,                0.73006,                0.72359,                      1,                  0.995,                0.36506,                 1.3962,                  3.086,                0.32826,                 4.9575,                 1.0951,              0.0019129,              0.0019129,              0.0019129
                     25,                0.95671,                 4.8462,                0.56008,                0.76671,                 1.0839,                0.80734,                      1,                  0.995,                0.65334,                0.52962,                0.66667,                0.45175,                0.08116,                 1.1811,                 4.2949,                0.31327,                 3.3054,                 1.0382,              0.0019089,              0.0019089,              0.0019089
                     26,                0.94743,                 4.8426,                0.48567,                 0.7004,                 1.0693,                0.89235,                      1,                  0.995,                0.62024,                0.59341,                0.66667,                0.44794,                0.09641,                0.97344,                 4.1896,                0.31136,                 3.0663,                 1.0117,               0.001905,               0.001905,               0.001905
                     27,                0.92078,                 5.4545,                0.47847,                0.69062,                 1.0505,                0.95243,                      1,                  0.995,                0.65779,                0.95243,                      1,                  0.995,                0.13574,                0.96126,                 4.0863,                 0.3239,                 1.8176,                 1.0207,               0.001901,               0.001901,               0.001901
                     28,                 1.0808,                 5.6711,                0.51091,                0.77223,                 1.1174,                0.71447,                      1,                  0.995,                0.73013,                      0,                      0,                      0,                      0,                 1.0006,                 5.4218,                0.30848,                  4.699,                 1.6008,               0.001897,               0.001897,               0.001897
                     29,                0.96051,                 4.9096,                0.53325,                0.77971,                  1.123,                0.67086,                      1,                  0.995,                0.76312,                0.22362,                0.33333,                0.16871,                0.01687,                0.91335,                 5.0611,                0.30942,                 4.6618,                 1.2467,              0.0018931,              0.0018931,              0.0018931
                     30,                0.81307,                 4.0617,                0.48325,                 0.6759,                 1.0029,                0.80166,                      1,                  0.995,                 0.7637,                0.80166,                      1,                  0.995,                0.41482,                0.76821,                 4.5091,                 0.3151,                 5.6524,                0.86754,              0.0018891,              0.0018891,              0.0018891
                     31,                 0.8482,                  4.452,                 0.5149,                0.71921,                 1.0094,                0.69132,                      1,                  0.995,                0.80763,                0.69132,                      1,                  0.995,                0.13313,                0.71318,                 5.1154,                0.29472,                 6.7782,                0.89747,              0.0018852,              0.0018852,              0.0018852
                     32,                0.90435,                 4.3006,                0.51267,                 0.7007,                 1.0464,                0.83451,                      1,                  0.995,                0.82991,                0.83451,                      1,                  0.995,                0.56457,                 0.6687,                 3.0152,                0.30583,                 3.0501,                0.77875,              0.0018812,              0.0018812,              0.0018812
                     33,                0.86531,                  4.153,                0.49401,                 0.6311,                 1.0287,                0.93211,                      1,                  0.995,                0.83017,                0.93211,                      1,                  0.995,                0.45417,                 0.7433,                 2.8449,                0.30724,                 1.5546,                0.80196,              0.0018772,              0.0018772,              0.0018772
                     34,                0.77017,                 3.6067,                0.42023,                  1.909,                0.88899,                0.96209,                      1,                  0.995,                0.79726,                0.32044,                0.33333,                0.11544,                0.03463,                0.75366,                 3.6656,                0.31523,                 1.8413,                0.85445,              0.0018733,              0.0018733,              0.0018733
                     35,                0.89213,                 4.6031,                0.51945,                0.74637,                 1.0401,                0.96798,                      1,                  0.995,                 0.7979,                0.96798,                      1,                  0.995,                0.62025,                0.80356,                 2.1712,                0.31725,                 1.9065,                0.82315,              0.0018693,              0.0018693,              0.0018693
