                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.89324,                 6.6791,                0.58192,                0.80446,                 0.9984,                0.00676,                   0.25,                0.00584,                0.00292,                      0,                      0,                      0,                      0,                 2.9606,                 11.921,                  4.119,                 4772.8,                 31.974,              0.0019089,              0.0019089,              0.0019089
                     26,                0.89019,                 6.9913,                0.58441,                0.73218,                 1.0212,                 0.0106,                   0.75,                0.04556,                0.01035,                      0,                      0,                      0,                      0,                 2.9615,                     12,                 8.3114,                  20176,                  37.69,               0.001905,               0.001905,               0.001905
                     27,                0.83308,                 7.0558,                0.56959,                0.71632,                0.98735,                0.00362,                   0.25,                 0.0042,                 0.0021,                      0,                      0,                      0,                      0,                 5.2664,                     12,                 3.1122,                  13415,                 30.217,               0.001901,               0.001901,               0.001901
                     28,                 1.0586,                  6.567,                 0.5685,                0.81832,                 1.0696,                0.00546,                   0.25,                 0.0049,                0.00098,                      0,                      0,                      0,                      0,                 4.3253,                  11.75,                0.83072,                 3063.2,                 7.0802,               0.001897,               0.001897,               0.001897
                     29,                 1.0127,                 6.2749,                 0.6109,                 0.8133,                 1.0463,                0.01235,                   0.25,                0.01057,                0.00211,                      0,                      0,                      0,                      0,                 4.7291,                 11.589,                0.73023,                 529.99,                 5.6687,              0.0018931,              0.0018931,              0.0018931
                     30,                0.86779,                 5.6807,                0.55239,                0.66556,                 1.0129,                0.00979,                   0.25,                0.00702,                 0.0014,                      0,                      0,                      0,                      0,                 4.3434,                 10.832,                0.74775,                  254.3,                 4.9982,              0.0018891,              0.0018891,              0.0018891
                     31,                0.86406,                 5.9995,                0.54685,                0.66922,                 1.0009,                0.01923,                   0.25,                0.01061,                0.00318,                      0,                      0,                      0,                      0,                 3.3143,                 8.7898,                  0.724,                 434.51,                 4.8806,              0.0018852,              0.0018852,              0.0018852
                     32,                0.91508,                 6.1709,                 0.5477,                0.81598,                 1.0201,                0.06667,                   0.25,                0.08394,                0.01679,                      0,                      0,                      0,                      0,                 2.2855,                 11.941,                0.75837,                  518.5,                  2.948,              0.0018812,              0.0018812,              0.0018812
                     33,                0.81654,                 6.4436,                  0.572,                0.71143,                0.99999,                0.04777,                   0.25,                0.01527,                0.00305,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 71.938,                      0,              0.0018772,              0.0018772,              0.0018772
                     34,                0.86163,                 5.9102,                0.55351,                0.67087,                 1.0154,                0.00637,                   0.25,                0.00487,                0.00049,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  6.918,                      0,              0.0018733,              0.0018733,              0.0018733
                     35,                0.76278,                  5.859,                0.57614,                0.62202,                0.94843,                0.00704,                   0.25,                0.00452,                0.00045,                      0,                      0,                      0,                      0,                 1.8183,                     12,                0.66626,                 9.7266,                  2.742,              0.0018693,              0.0018693,              0.0018693
                     36,                0.88655,                 5.7742,                0.57062,                0.70595,                 1.0102,                0.00637,                   0.25,                0.00637,                0.00064,                      0,                      0,                      0,                      0,                 4.0503,                 11.071,                0.68423,                 6.6274,                 3.8899,              0.0018654,              0.0018654,              0.0018654
                     37,                 0.7457,                 5.7101,                0.55427,                0.63874,                0.94189,                0.01282,                    0.5,                0.01971,                0.00854,                      0,                      0,                      0,                      0,                  3.401,                 10.686,                0.61645,                 5.4075,                 2.7145,              0.0018614,              0.0018614,              0.0018614
                     38,                0.82302,                 5.8953,                0.56383,                0.70675,                0.97591,                0.16819,                   0.25,                0.12207,                0.07479,                      0,                      0,                      0,                      0,                 1.5394,                 9.1216,                0.61423,                 2.6011,                 1.2857,              0.0018574,              0.0018574,              0.0018574
                     39,                 0.7785,                 5.4255,                0.55452,                0.61317,                0.94904,                0.08494,                   0.25,                0.03686,                0.01435,                      0,                      0,                      0,                      0,                 2.2378,                 9.1653,                0.60672,                  4.268,                 1.5939,              0.0018535,              0.0018535,              0.0018535
                     40,                 0.7562,                 5.9471,                0.56441,                0.63474,                0.96396,                0.28049,                   0.75,                0.53518,                0.30254,                0.07941,                   0.25,                0.04059,                0.00406,                 1.7902,                 7.4639,                0.60334,                 3.7889,                 1.6166,              0.0018495,              0.0018495,              0.0018495
                     41,                0.79572,                 5.7838,                0.56476,                0.66133,                0.96131,                0.92213,                      1,                  0.995,                 0.7209,                 0.0326,                   0.25,                0.03193,                0.00639,                 1.1957,                 6.4295,                0.60457,                 1.9035,                  1.184,              0.0018456,              0.0018456,              0.0018456
                     42,                0.77445,                 5.9326,                0.56886,                0.62425,                0.94232,                0.97179,                      1,                  0.995,                0.86662,                0.24879,                   0.25,                0.12474,                0.02495,                0.63505,                 6.1379,                0.60249,                 1.0785,                0.82188,              0.0018416,              0.0018416,              0.0018416
                     43,                0.74097,                 5.3491,                 0.5412,                0.62572,                 0.9576,                0.97218,                      1,                  0.995,                0.84559,                0.48581,                    0.5,                0.37398,                 0.0622,                0.72912,                 5.9686,                 0.6018,                0.95534,                0.82647,              0.0018376,              0.0018376,              0.0018376
                     44,                0.74042,                 5.6763,                0.54861,                0.62345,                0.93415,                0.98594,                      1,                  0.995,                0.83347,                0.74178,                   0.75,                0.74861,                0.14181,                0.66721,                 5.0468,                0.60384,                0.56399,                 0.7968,              0.0018337,              0.0018337,              0.0018337
                     45,                0.75313,                 5.9466,                 0.5797,                0.62642,                0.97391,                0.98303,                      1,                  0.995,                 0.8955,                0.74171,                   0.75,                0.74828,                0.27444,                0.59144,                 4.3954,                0.59708,                0.52709,                 0.7555,              0.0018297,              0.0018297,              0.0018297
                     46,                0.64298,                 4.8909,                0.52732,                  0.557,                0.93309,                0.98121,                      1,                  0.995,                0.88969,                0.73907,                   0.75,                  0.748,                0.29075,                0.62063,                  4.291,                0.59423,                0.53467,                0.75441,              0.0018258,              0.0018258,              0.0018258
                     47,                0.65571,                 5.4855,                0.56277,                0.55647,                0.92675,                0.98847,                      1,                  0.995,                0.93722,                0.74135,                   0.75,                0.68669,                0.16264,                0.53219,                 4.6956,                0.59575,                0.46826,                0.76097,              0.0018218,              0.0018218,              0.0018218
